gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5483969507,win,Ranked Solo,2021-09-30 04:52:56,33m 7s,12,4,11,5.75:1,Double Kill,empty,Ezreal,Diamond 3,empty,Sion,INT Zambi,Qiyana,INT Baul,Twisted Fate,Swedish Dopa,Xayah,dzc,Rakan,ight,Aatrox,Winter Tonelico,Xin Zhao,Leader1234,Viktor,gezodezo,Ezreal,2021Worlds0053,Yuumi,2021Worlds0055
5483945350,win,Ranked Solo,2021-09-30 04:10:40,20m 12s,6,1,5,11.00:1,MVP,empty,Lucian,Diamond 2,empty,Zilean,Pleb Hunter,Rengar,on a regular,Viktor,gezodezo,Lucian,2021Worlds0053,Nami,2021Worlds0055,Teemo,OneTwoTrickFour,Nidalee,darpgasptecavuz,Vladimir,Gagamelius,Miss Fortune,dzc,Pantheon,ight
5481754495,lose,Ranked Solo,2021-09-28 20:17:14,26m 2s,5,11,10,1.36:1,Double Kill,empty,Syndra,Diamond 2,empty,Twisted Fate,UMBBBBBBBBBBB,Lee Sin,HSFFFFFFFFFF,Dr. Mundo,Briefcase Man,Draven,BYG Liang,Sylas,LanPeiFang,Tryndamere,Flamboyant Fox,Zed,LaIZepro,Singed,LevelZeroFangirl,Syndra,2021Worlds0053,Amumu,2021Worlds0055
5479550278,win,Ranked Solo,2021-09-27 06:50:53,18m 32s,7,4,8,3.75:1,empty,empty,Draven,Diamond 3,empty,Jayce,MeIynx,Nidalee,piano gaming,Rumble,FPX Kartongen,Miss Fortune,Emdiel,Amumu,DrewArchiba,Aatrox,EU POLIZEI,Qiyana,Dinner first,Zoe,Kimchi3,Draven,2021Worlds0053,Rell,2021Worlds0055
5479342431,win,Ranked Solo,2021-09-27 04:22:39,24m 24s,6,3,5,3.67:1,empty,empty,Kalista,Diamond 4,empty,Neeko,trust me bros,Lee Sin,Chandrahmuki,Qiyana,x9tepesgod,Aphelios,MercilessTom1,Yuumi,ElîWood,Kennen,Roki1567,Talon,S11Tian,LeBlanc,spellbonks,Kalista,2021Worlds0053,Nautilus,2021Worlds0055
5479215019,win,Ranked Solo,2021-09-27 03:41:32,25m 53s,14,3,4,6.00:1,Double Kill,MVP,Draven,Platinum 1,empty,Kennen,Stargazer7,Kayn,RageOfTheQueen,Yasuo,Mrozku9z,Kayle,its okay i guess,Thresh,Heyyygoodmorning,Lulu,PSG Helper,Zed,S11Tian,Twisted Fate,424424424,Draven,2021Worlds0053,Amumu,2021Worlds0055
5473308748,win,Ranked Solo,2021-09-23 20:40:14,24m 10s,15,1,3,18.00:1,Triple Kill,MVP,Kalista,Diamond 2,empty,Lissandra,Snorven,Shaco,Qutility,Sylas,Silk,Kai'Sa,scrxptlxss,Karma,Vincent JK,Garen,YouSpinYouMonte,Evelynn,Tricacole,Qiyana,Wakatoshı,Kalista,2021Worlds0053,Leona,2021Worlds0055
5470598351,win,Ranked Solo,2021-09-22 01:23:58,25m 5s,9,3,11,6.67:1,empty,empty,Jhin,Diamond 3,empty,Singed,321jeff1058,Ekko,LUTHER1,Qiyana,Caillou 4head,Aphelios,Scottie Pippen,Thresh,NotEvenSuppMain,Sion,mm7m,Nidalee,Cheeny Wave,Tryndamere,Wuliao,Jhin,2021Worlds0053,Jarvan IV,2021Worlds0055
5470614008,win,Ranked Solo,2021-09-22 00:50:49,20m 57s,6,1,7,13.00:1,empty,empty,Aphelios,Platinum 1,empty,Poppy,lBiosfera,Viego,INT Baul,Ryze,INT Zambi,Draven,Rhocke,Leona,Peake,Singed,321jeff1058,Jarvan IV,mm7m,Qiyana,Caillou 4head,Aphelios,2021Worlds0053,Thresh,2021Worlds0055
5470297947,lose,Ranked Solo,2021-09-21 20:31:21,41m 8s,12,7,12,3.43:1,empty,empty,Lucian,Diamond 4,empty,Irelia,111ll111ll,Nidalee,xerxe fan,Lissandra,dejan1,Draven,Kaori1,Thresh,tempbvcamulbitaw,Jarvan IV,Nuguri auf Wish,Lee Sin,DK Cαnyon,Zoe,Digital Monster,Lucian,2021Worlds0053,Nami,2021Worlds0055
5469752369,win,Ranked Solo,2021-09-21 04:55:27,30m 4s,10,9,18,3.11:1,MVP,empty,Syndra,Diamond 4,empty,Renekton,Xoyl,Nunu & Willump,FeIynx,Lucian,LessonLearneDD,Xayah,LKΝ,Morgana,ownedBYfOCUS,Irelia,jjjBarsjjj,Rek'Sai,ProjectPLayerino,Akshan,Junior ImJony,Syndra,2021Worlds0053,Zyra,2021Worlds0055
5469734630,win,Ranked Solo,2021-09-21 04:12:33,16m 9s,6,1,2,8.00:1,Double Kill,empty,Lucian,Diamond 1,empty,Camille,TETA NânoStrqfe,Shaco,shanklone,Fizz,Nøt a trickster,Jinx,iDugo,Seraphine,el jepe,Fiora,osawix78,Nunu & Willump,AimlessEquation,Irelia,Acer Scarlett,Lucian,2021Worlds0053,Nami,2021Worlds0055
5469647696,win,Ranked Solo,2021-09-21 03:43:24,26m 56s,13,2,13,13.00:1,Triple Kill,MVP,Lucian,Platinum 2,empty,Camille,tempqbigjeqgrzen,Ivern,Arctial,Tryndamere,tmffhdnzb,Jhin,fkqtmxk,Zyra,Gómez,Renekton,Chryses,Diana,The Unstoppable,Yasuo,NavareteGita,Lucian,2021Worlds0053,Amumu,2021Worlds0055
